grn_language_id,iso_code
1,amh
4,arn
5,hyw
6,nhg
7,ayr
8,nhw
9,azz
10,bam
11,bum
13,yue
15,caa
16,clo
18,coc
19,hat
21,nld
23,fra
24,deu
26,hin
27,hop
29,ita
30,jiv
31,kek
33,sgc
34,run
35,ind
37,cmn
38,mar
39,yua
40,maz
41,mau
43,mig
44,mos
45,nav
46,ote
48,quc
49,rus
50,sag
51,som
53,swe
54,tsz
55,tee
56,tpl
57,tos
59,snv
61,urd
62,yor
63,yaq
64,yum
65,zaa
66,zai
67,zav
68,zoc
69,zun
70,ilo
71,tgl
72,ydd
73,bxg
75,kam
76,hch
77,suk
78,shp
80,kik
81,zul
82,poi
83,shn
84,qug
86,wbm
87,bas
88,lin
91,pbs
92,tel
93,tsc
94,nkw
96,jpn
97,quh
99,lua
100,zmp
101,nod
102,spy
103,kor
104,hmd
105,alz
107,tfn
110,tso
112,aii
113,cdo
114,pow
115,ell
116,ktu
117,pol
118,udu
120,ale
123,tsi
124,hdn
125,tli
130,ndc
131,tur
132,mal
133,ces
138,gbr
139,lvs
140,bem
141,agr
142,fin
145,tll
146,nba
147,bci
148,ctd
149,umb
150,guj
151,swc
152,nso
153,luo
154,lia
155,tem
156,tar
157,njo
158,esu
159,ssw
161,toj
162,kat
163,gil
165,hun
166,cjk
167,otm
168,kng
170,box
171,jit
172,ben
173,azb
174,tam
175,kac
176,miq
178,nno
179,see
180,gui
181,fat
182,adx
184,afr
185,nan
187,mxc
189,wti
190,ake
191,dak
192,ivb
193,ivv
194,crk
195,mya
196,haw
197,yak
199,goa
200,bla
202,hil
203,win
204,tir
205,pap
206,pem
207,lch
209,amu
210,vai
211,gol
212,qui
215,klu
216,tix
217,spo
218,oka
221,trs
222,lgg
223,kml
224,nnc
225,sba
226,xpe
227,lbk
228,pib
229,nez
230,shh
231,mus
233,ifk
234,cbr
235,ciw
236,lea
238,ksw
240,kog
243,guc
244,sot
245,yup
246,maw
247,kio
248,mni
249,wba
253,kha
254,com
255,cuk
256,bya
257,plw
258,agn
260,sjm
261,tbk
262,cyo
263,tsg
264,ilp
265,hnn
266,iri
267,mbi
268,cbk
269,mta
270,mdh
271,clu
273,mbt
274,yka
275,kqe
276,xho
277,ceb
279,sgd
280,mbd
281,msk
282,klg
283,daw
285,raw
286,wal
287,ibg
288,igl
289,bpr
290,bgs
291,nzb
292,khk
293,sml
295,ukr
296,laa
297,tld
299,tiy
300,bkd
301,akl
303,brf
304,ekg
305,rnd
306,ame
307,shk
308,njm
309,yog
310,tan
311,tts
314,rad
316,glr
317,chr
318,cho
319,xsm
320,shr
321,ikt
323,yuz
324,prf
325,ibl
326,pam
330,kpm
331,lue
332,ngl
335,bcl
337,dan
338,kan
340,hak
341,smo
342,sid
345,sin
347,lee
348,isl
349,kmr
350,mcr
351,smn
353,esi
354,nyk
357,doa
358,wgi
359,plt
363,war
365,khm
367,irn
368,wiu
370,tbl
371,cjp
372,iba
373,waw
376,iwm
379,hmo
380,tpi
382,urt
384,dtp
387,chy
388,aty
390,lgr
391,gga
392,agu
393,ged
395,kjb
397,mwm
399,mnw
400,cnh
401,csh
402,bbu
403,men
404,kyu
405,srn
406,nau
408,mvv
409,bsy
410,heb
411,mla
412,mph
414,bwe
416,pwo
417,ium
418,sgz
419,tbc
420,sst
421,cpx
422,kue
425,tmy
427,kqa
429,bzh
431,fij
432,meu
434,vls
436,big
437,hot
438,ian
441,gdd
442,okv
445,jae
446,gaw
449,bef
450,spm
451,gaf
453,snc
454,mpx
457,gah
458,snp
459,for
461,kbq
464,tbg
465,ssx
466,foi
469,anx
470,sbh
471,lek
472,pkg
474,tof
475,faa
476,med
477,mbf
478,tlx
479,los
